security_code,company_name,benefit_summary,required_shares,record_month,long_term_condition,official_url,status,source_checked_date
7455,パリミキホールディングス,メガネ等の20％割引カード2枚,100,3|9,なし,https://www.paris-miki.com/ir/stockholder/,confirmed,2026-07-31
7475,アルビス,アルビス商品券または北陸地方特産品,100,3|9,1年以上で追加,https://www.albis.co.jp/corporate/ir/stockholder/,confirmed,2026-07-31
7487,小津産業,"QUOカード1,000円分",100,5,なし,https://www.ozu.co.jp/ir/stockholder/,confirmed,2026-07-31
7506,ハウス オブ ローゼ,"3,000円相当の自社商品",100,3,なし,https://www.houseofrose.co.jp/company/ir/stockholder/,confirmed,2026-07-31
7514,ヒマラヤ,"年間2,000円分の買物優待券",100,2|8,なし,https://www.himaraya.co.jp/corporate/ir/stockholder/,confirmed,2026-07-31
7539,アイナボホールディングス,"QUOカード1,000円分",100,9,なし,https://www.ainavo.co.jp/ir/stockholder/,confirmed,2026-07-31
7561,ハークスレイ,QUOカード500円分,100,3,1年以上継続保有,https://www.hurxley.co.jp/ir/stockholder/,confirmed,2026-07-31
7581,サイゼリヤ,株主優待食事券,500,8,1年以上継続保有,https://www.saizeriya.co.jp/corporate/ir/stockholder/,confirmed,2026-07-31
7596,魚力,"2,000円相当の海産物",100,9,なし（3年以上で増量）,https://www.uoriki.co.jp/ir/stockholder/,confirmed,2026-07-31
7613,シークス,"ギフトカード1,000円分",100,12,なし（長期保有で追加）,https://www.siix.co.jp/ir/stockholder/,confirmed,2026-07-31
7618,ピーシーデポコーポレーション,自社サービス利用券,100,3,なし,https://www.pcdepot.co.jp/ir/stockholder/,confirmed,2026-07-31
7619,田中商事,QUOカード500円分,100,3,なし,https://www.tanakashoji.co.jp/ir/stockholder/,confirmed,2026-07-31
7628,オーハシテクニカ,おこめ券1枚,100,3|9,3年以上で追加,https://www.ohashi.co.jp/ir/stockholder/,confirmed,2026-07-31
7937,ツツミ,"QUOカード1,000円分",100,3,なし（3年以上で増額）,https://www.tsutsumi.co.jp/ir/stockholder/,confirmed,2026-07-31
8005,スクロール,"株主優待ポイント1,000円分",100,3|9,なし（保有年数で増額）,https://www.scroll.jp/ir/stockholder/,confirmed,2026-07-31
